sample_name,Absolute energy,Area under the curve,Autocorrelation,Centroid,Entropy,Mean absolute diff,Mean diff,Median absolute diff,Median diff,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Signal distance,Slope,Sum absolute diff,Total energy,Zero crossing rate
MAC000002-2012-10,143.02830460080006,2.7762000009999994,143.02830460080003,10.898703442079038,0.5938491828139973,0.07562918353413656,0.0001686746987951802,0.024499999999999994,0.0,307.0,38.0,2.1600001,310.0,1513.122087724737,0.00031342329617326474,112.99000020000001,9.573514364176711,5.0
MAC000002-2012-11,142.30768556220002,3.448939998,142.30768556220002,6.714763813815956,0.7705894215917319,0.11477510013386882,-0.00016867469879518096,0.044999999999999984,0.0,495.0,59.0,1.714,496.0,1526.8315036897607,-5.902532345036623e-05,171.4739996,9.525280158112452,9.0
MAC000002-2012-12,151.31835853100006,3.555400002000001,151.31835853100003,7.013706919002672,0.7760502761359946,0.11293306586345382,9.370816599731675e-06,0.045,-0.002999999999999989,545.0,60.0,1.692,547.0,1525.3370167255584,-3.85254067592962e-05,168.7220004,10.128404185475238,6.0
MAC000002-2013-01,154.4038644352001,3.5984400010000006,154.40386443520006,7.811695482146148,0.7726347788760147,0.11192369477911647,2.543507362784726e-05,0.042499999999999996,-0.0049999999999999906,527.0,57.0,1.603,526.0,1526.257047988433,9.133761320746695e-06,167.214,10.334930685087022,4.0
MAC000002-2013-02,238.5489892624001,3.817305002999997,238.54898926240008,8.36329873965079,0.7539979373459498,0.12131526104417671,-0.00014390896921017427,0.04300000000000001,0.0,485.0,53.0,2.994,487.0,1532.4263736531507,-5.124749373614615e-06,181.245,15.967134488781802,5.0
MAC000002-2013-03,353.90432993240023,4.798594998999997,353.9043299324001,4.140370740769006,0.8044427374627676,0.12100066934404284,-0.00023092369477911592,0.045,-0.0030000000000000027,535.0,61.0,2.5239999,534.0,1532.379621563059,-0.00032291503220005345,180.775,23.688375497483282,4.0
MAC000002-2013-04,158.65498830880006,3.627005005,158.65498830880006,6.404452351174896,0.785640142854061,0.10409303935742971,-4.618473895582281e-05,0.046,0.0,507.0,58.0,1.681,510.0,1521.2498312902098,-9.172560309702319e-05,155.5150008,10.619477129103084,5.0
MAC000002-2013-05,107.69514226140004,3.0380700010000017,107.69514226140004,8.332193149640087,0.7556578366057103,0.10052074966532798,4.1499330655957554e-05,0.04300000000000001,-0.0020000000000000018,538.0,61.0,1.398,541.0,1519.975563812603,4.3362091505183485e-05,150.178,7.208510191526107,4.0
MAC000002-2013-06,105.68458900000002,3.00016,105.684589,6.639474072137422,0.747552810878924,0.09770013386880856,-0.00014323962516733565,0.04100000000000001,-0.0004999999999999935,501.0,59.0,1.513,501.0,1518.439471407897,-5.04926794977024e-05,145.964,7.073935006693442,5.0
MAC000002-2013-07,83.3787507742,2.7114749989999987,83.3787507742,7.4159739994149945,0.7291793633089515,0.09380789812583669,2.3427041499330286e-05,0.045999999999999985,-0.0030000000000000027,577.0,58.0,1.546,578.0,1516.1974489289623,7.556016138669717e-06,140.1489998,5.5809070129986615,4.0
