sample_name,min,max,mean,std,diff_min,diff_max,q25,q50,q75,count,count_nan
MAC000012-2013-12-31,0.0,0.389,0.025787105439892544,0.030875525249378828,-0.10199999999999998,0.189,0.0,0.02,0.051,1489,0
MAC000012-2014-01-31,0.0,0.671,0.023252688172043012,0.03045352097281643,-0.506,0.356,0.0,0.014,0.05,1488,0
MAC000012-2014-02-28,0.0,0.056,0.022862865947611707,0.02299742854014927,-0.05,0.056,0.0,0.017,0.05,1298,0
MAC000013-2012-06-30,0.035,0.316,0.12367672413793104,0.044459399991013,-0.14900000000000002,0.172,0.093,0.121,0.147,464,0
MAC000013-2012-07-31,0.032,0.343,0.13270715249662618,0.04458583437289892,-0.18800000000000003,0.137,0.102,0.128,0.16,1482,0
MAC000013-2012-08-31,0.03,0.326,0.11668569509738079,0.044805035429091374,-0.198,0.13799999999999998,0.085,0.113,0.141,1489,0
MAC000013-2012-09-30,0.03,0.352,0.12003747397640527,0.05183954930845426,-0.22000000000000003,0.165,0.082,0.114,0.146,1441,0
MAC000013-2012-10-31,0.027,0.504,0.12681396910678308,0.061321740241437175,-0.193,0.16599999999999998,0.082,0.116,0.154,1489,0
MAC000013-2012-11-30,0.027,0.402,0.13496530187369882,0.056290505570888,-0.136,0.184,0.093,0.124,0.165,1441,0
MAC000013-2012-12-31,0.026,0.505,0.14642243116185358,0.06936294839039114,-0.199,0.16599999999999998,0.1,0.129,0.177,1489,1
MAC000013-2013-01-31,0.025,0.349,0.13726393552719945,0.05439798379245333,-0.14799999999999996,0.19399999999999998,0.098,0.127,0.171,1489,0
MAC000013-2013-02-28,0.029,0.333,0.12565055762081784,0.0565250929455346,-0.271,0.24300000000000002,0.083,0.117,0.158,1345,0
MAC000013-2013-03-31,0.029,0.363,0.12087911349899262,0.05603239414693292,-0.16499999999999998,0.14700000000000002,0.078,0.113,0.154,1489,0
MAC000013-2013-04-30,0.025,0.391,0.1090145732130465,0.04742042086750974,-0.19,0.237,0.074,0.107,0.142,1441,0
MAC000013-2013-05-31,0.024,0.284,0.10156212222968435,0.04864315216433206,-0.19999999999999996,0.179,0.067,0.096,0.135,1489,0
MAC000013-2013-06-30,0.026,0.279,0.08055655794587092,0.03972675456344292,-0.14400000000000002,0.16700000000000004,0.051,0.076,0.105,1441,0
MAC000013-2013-07-31,0.025,0.305,0.08708467741935483,0.04052784982033081,-0.238,0.20599999999999996,0.058,0.08,0.113,1488,0
MAC000013-2013-08-31,0.026,0.325,0.08549697783747481,0.043003877641492785,-0.18300000000000002,0.21200000000000002,0.054,0.078,0.109,1489,0
MAC000013-2013-09-30,0.024,0.316,0.07855239417071479,0.04138157713953921,-0.203,0.184,0.045,0.072,0.104,1441,0
MAC000013-2013-10-31,0.023,0.388,0.08416588314304903,0.04950157504597238,-0.216,0.192,0.047,0.074,0.112,1489,0
MAC000013-2013-11-30,0.023,0.429,0.09059541984732825,0.055805261162833776,-0.159,0.18,0.048,0.077,0.121,1441,0
MAC000013-2013-12-31,0.024,0.432,0.11267494963062458,0.07303303621497398,-0.18699999999999997,0.199,0.063,0.092,0.146,1489,0
MAC000013-2014-01-31,0.023,0.384,0.10854734721289457,0.06315119312857705,-0.267,0.245,0.067,0.096,0.136,1489,0
MAC000013-2014-02-28,0.032,0.352,0.09597072419106317,0.040461322875306314,-0.182,0.21499999999999997,0.067,0.087,0.113,1298,0
MAC000016-2011-12-31,0.021,0.717,0.12192722812755519,0.08120940644414865,-0.576,0.5389999999999999,0.048,0.131,0.157,1223,0
MAC000016-2012-01-31,0.02,0.873,0.11377971793149766,0.09011673189775102,-0.597,0.6890000000000001,0.038,0.121,0.156,1489,0
MAC000016-2012-02-29,0.006,0.503,0.03294687724335966,0.034835657565408094,-0.356,0.309,0.016,0.022,0.038,1393,0
MAC000016-2012-03-31,0.005,0.332,0.02096440564137005,0.028992920825550425,-0.187,0.21300000000000002,0.007,0.013,0.025,1489,0
MAC000016-2012-04-30,0.005,0.752,0.01564677307425399,0.02696321062905792,-0.696,0.741,0.006,0.011,0.022,1441,0
MAC000016-2012-05-31,0.0,0.106,0.013678307588985897,0.012650781706241771,-0.097,0.060000000000000005,0.005,0.009,0.023,1489,0
MAC000016-2012-06-30,0.0,0.542,0.015165857043719639,0.031038186160206892,-0.47700000000000004,0.40599999999999997,0.0,0.009,0.024,1441,0
MAC000016-2012-07-31,0.0,0.018,0.004456317204301076,0.005321358204386782,-0.009000000000000001,0.009,0.0,0.0,0.01,1488,0
MAC000016-2012-08-31,0.0,0.011,0.00319140362659503,0.004285701562248459,-0.009000000000000001,0.009,0.0,0.0,0.009,1489,0
MAC000016-2012-09-30,0.0,0.053,0.004697432338653712,0.0063461537180916055,-0.034,0.043,0.0,0.0,0.009,1441,0
MAC000016-2012-10-31,0.0,0.163,0.0033593015446608462,0.006887770332770507,-0.132,0.064,0.0,0.0,0.009,1489,0
MAC000016-2012-11-30,0.0,0.047,0.005016655100624566,0.005908068886746767,-0.028,0.038,0.0,0.001,0.009,1441,0
MAC000016-2012-12-31,0.0,0.083,0.01420147750167898,0.012555724092737187,-0.05,0.055,0.002,0.013,0.022,1489,1
MAC000016-2013-01-31,0.005,0.233,0.03054785020804438,0.028382080593997994,-0.193,0.14500000000000002,0.019,0.026,0.031,721,0
MAC000018-2011-12-31,0.11,1.846,0.24819289340101522,0.18763109449825172,-1.09,1.017,0.12,0.206,0.286,1182,0
MAC000018-2012-01-31,0.111,1.704,0.2960134319006044,0.18596891343760033,-0.896,1.305,0.158,0.246,0.364,1489,0
MAC000018-2012-02-29,0.107,1.75,0.3708356066044508,0.25178718281367624,-0.859,1.336,0.181,0.298,0.484,1393,0
MAC000018-2012-03-31,0.119,1.414,0.2473760914036266,0.17943750519858645,-0.931,1.0610000000000002,0.13,0.161,0.294,1489,0
MAC000018-2012-04-30,0.093,2.0079999,0.19650659257460096,0.1389806187154225,-0.7839999000000002,1.3699999000000003,0.125,0.138,0.221,1441,0
MAC000018-2012-05-31,0.099,1.3660001,0.16895634660846204,0.10708209103229203,-0.7729998999999999,0.9210000999999999,0.123,0.131,0.163,1489,0
MAC000018-2012-06-30,0.106,1.825,0.21783483691880637,0.15355576427317383,-0.867,1.638,0.129,0.152,0.247,1441,0
MAC000018-2012-07-31,0.088,2.0569999,0.19716453989254534,0.11663162391077173,-1.0279999000000002,1.3049999,0.135,0.161,0.22,1489,0
MAC000018-2012-08-31,0.095,1.332,0.21040832766957687,0.1370573949740831,-1.0,1.1580000000000001,0.137,0.162,0.233,1489,0
MAC000018-2012-09-30,0.101,1.175,0.21497987508674532,0.1381616967752557,-0.8559999999999999,0.897,0.129,0.152,0.25,1441,0
MAC000018-2012-10-31,0.116,1.729,0.23629952988582942,0.15751881268783502,-0.8059999999999999,1.226,0.127,0.153,0.323,1489,0
MAC000018-2012-11-30,0.101,1.989,0.3346571822345593,0.31488292338701823,-1.4260000000000002,1.511,0.131,0.209,0.421,1441,0
MAC000018-2012-12-31,0.111,1.878,0.2507044997985225,0.2229197509978118,-1.048,1.2160000000000002,0.125,0.137,0.294,1489,1
MAC000018-2013-01-31,0.091,2.0669999,0.28749764929482874,0.2237136972700103,-1.3279999999999998,1.346,0.136,0.2,0.371,1489,0
MAC000018-2013-02-28,0.091,1.88,0.23672118951672863,0.1923954265224529,-1.16,1.288,0.128,0.153,0.287,1345,0
MAC000018-2013-03-31,0.091,1.763,0.2042249832102082,0.14921513209857093,-1.3849999,1.337,0.129,0.142,0.234,1489,0
MAC000018-2013-04-30,0.102,2.0880001,0.21417834843858433,0.1807145799382148,-1.235,1.226,0.128,0.146,0.235,1441,0
MAC000018-2013-05-31,0.098,1.33,0.1926749496306246,0.11892922998308325,-0.808,0.9790000000000001,0.127,0.142,0.237,1489,0
MAC000018-2013-06-30,0.102,1.4220001,0.18749757120055516,0.09395669986902154,-0.7690001,1.0240000999999999,0.134,0.151,0.218,1441,0
MAC000018-2013-07-31,0.113,1.4349999,0.20085695083948957,0.08960699783623641,-0.7929999,1.0249999,0.144,0.167,0.235,1489,0
MAC000018-2013-08-31,0.113,1.4,0.211928139758227,0.12604767265321173,-1.0419999999999998,0.9149999999999999,0.141,0.157,0.243,1489,0
MAC000018-2013-09-30,0.111,1.978,0.21131783490631503,0.14449114856776304,-0.8679999999999999,1.596,0.136,0.15,0.247,1441,0
MAC000018-2013-10-31,0.105,1.1670001,0.20762390873069175,0.12846440445841023,-0.769,0.7429999999999999,0.132,0.151,0.245,1489,0
MAC000018-2013-11-30,0.102,1.881,0.2245884800832755,0.16714018262293234,-0.9410000000000001,0.966,0.128,0.15,0.266,1441,0
MAC000018-2013-12-31,0.098,1.608,0.17485963740765614,0.13105088543952698,-0.8810000000000001,0.658,0.106,0.123,0.188,1489,0
MAC000018-2014-01-31,0.096,1.559,0.17506783082605776,0.14924935926511793,-0.783,1.367,0.11,0.116,0.132,1489,0
MAC000018-2014-02-28,0.093,1.3329999,0.12901617865947612,0.08994442908485209,-0.848,0.475,0.101,0.106,0.114,1298,0
MAC000019-2011-12-31,0.013,1.1059999,0.13061058923996582,0.13773239388469238,-0.9199999000000001,0.9850001,0.057,0.092,0.1525,1171,0
MAC000019-2012-01-31,0.014,1.2970001,0.16416588314304903,0.18225076529564768,-0.943,1.1019999999999999,0.067,0.115,0.173,1489,0
MAC000019-2012-02-29,0.029,1.239,0.14881909554917444,0.16424625076831612,-0.911,1.0910000000000002,0.065,0.103,0.155,1393,0
MAC000019-2012-03-31,0.023,1.043,0.09125386165211552,0.09782108022690067,-0.8119999999999999,0.9299999999999999,0.039,0.069,0.099,1489,0
MAC000019-2012-04-30,0.027,1.2920001,0.12909160312283138,0.12511320468595913,-1.1090001,0.873,0.067,0.095,0.148,1441,0
MAC000019-2012-05-31,0.027,1.178,0.13512155809267964,0.12412962840991515,-0.9809999999999999,0.735,0.071,0.105,0.149,1489,0
MAC000019-2012-06-30,0.024,1.255,0.10413115891741846,0.10594926134634694,-1.0879999999999999,0.843,0.054,0.081,0.111,1441,0
MAC000019-2012-07-31,0.023,1.035,0.10682471464069845,0.10715016041193272,-0.8719999999999999,0.9890001,0.055,0.082,0.114,1489,0
MAC000019-2012-08-31,0.021,1.011,0.11022766957689724,0.10575660526161315,-0.8379999999999999,0.8949999999999999,0.06,0.085,0.119,1489,0
MAC000019-2012-09-30,0.02,0.864,0.12133934767522553,0.11289055989401975,-0.71,0.796,0.064,0.095,0.139,1441,0
MAC000019-2012-10-31,0.019,1.1720001,0.11301074553391537,0.10236474172963697,-0.9350001,1.0830001,0.059,0.092,0.13,1489,0
MAC000019-2012-11-30,0.01,1.409,0.11321443442054129,0.11520713453193049,-1.149,0.7859999999999999,0.054,0.088,0.13,1441,0
MAC000019-2012-12-31,0.011,1.087,0.13295903290799194,0.12789026951110566,-0.813,0.974,0.061,0.099,0.167,1489,1
MAC000019-2013-01-31,0.028,1.136,0.16599059764942914,0.15224742370246008,-0.7829999000000001,0.694,0.085,0.123,0.19,1489,0
MAC000019-2013-02-28,0.028,1.17,0.15466542750929368,0.15776683142222359,-0.8,0.889,0.069,0.114,0.181,1345,0
MAC000019-2013-03-31,0.024,1.641,0.14368166568166554,0.1599723797640185,-0.8740001000000001,1.202,0.061,0.094,0.167,1489,0
MAC000019-2013-04-30,0.025,0.931,0.12661415683553087,0.11791389122528885,-0.6499999999999999,0.8240000000000001,0.069,0.095,0.147,1441,0
MAC000019-2013-05-31,0.022,1.45,0.11232236400268636,0.1168359790972456,-0.692,1.339,0.053,0.089,0.123,1489,0
MAC000019-2013-06-30,0.025,0.986,0.12005829285218597,0.10856489707710039,-0.641,0.875,0.075,0.095,0.131,1441,0
MAC000019-2013-07-31,0.025,0.95,0.11754331766286097,0.0852904172787138,-0.6719999999999999,0.833,0.086,0.102,0.119,1489,0
MAC000019-2013-08-31,0.023,0.972,0.1353378106111484,0.11424230016071014,-0.736,0.859,0.084,0.104,0.151,1489,0
MAC000019-2013-09-30,0.017,1.026,0.13584038861901457,0.12179810619702675,-0.7999999999999999,0.857,0.075,0.106,0.156,1441,0
MAC000019-2013-10-31,0.017,1.0,0.1259905977165883,0.11453985157887045,-0.771,0.837,0.064,0.098,0.152,1489,0
MAC000019-2013-11-30,0.012,1.378,0.08197224149895906,0.09715016615778937,-1.0539999999999998,0.929,0.037,0.057,0.092,1441,0
MAC000019-2013-12-31,0.019,1.068,0.16166420402955003,0.14326231148315685,-0.838,0.8829999,0.079,0.125,0.191,1489,0
MAC000019-2014-01-31,0.015,1.4910001,0.16310544002686367,0.14017329638493378,-1.2910001,0.9470000999999999,0.082,0.136,0.193,1489,0
MAC000019-2014-02-28,0.016,1.137,0.15653004622496147,0.14150621447185135,-0.768,0.808,0.079,0.125,0.179,1298,0
MAC000020-2011-12-31,0.047,1.4170001,0.1831928934856176,0.16476572100154824,-1.0490000000000002,1.0530001000000002,0.076,0.135,0.23675,1182,0
MAC000020-2012-01-31,0.041,1.48,0.1767286768300873,0.16943350033134824,-1.189,1.22,0.07,0.123,0.224,1489,0
MAC000020-2012-02-29,0.041,1.374,0.1684529791816224,0.16810607704501876,-0.9349999999999999,1.093,0.065,0.099,0.223,1393,0
MAC000020-2012-03-31,0.038,1.196,0.1351559140456989,0.1355224020667954,-1.009,0.96,0.063,0.084,0.167,1488,0
MAC000020-2012-04-30,0.041,1.3710001,0.13577029847328245,0.13959519157544245,-1.042,1.007,0.065,0.089,0.16,1441,0
MAC000020-2012-05-31,0.044,1.131,0.12747615849563465,0.12132811585113154,-0.947,0.9410000000000001,0.063,0.085,0.155,1489,0
MAC000020-2012-06-30,0.041,1.126,0.12317487855655795,0.12138946140706387,-0.825,1.0139999999999998,0.062,0.083,0.142,1441,0
MAC000020-2012-07-31,0.04,1.0880001,0.11331631974479517,0.10748310760116,-0.865,0.9880000999999999,0.061,0.078,0.131,1489,0
MAC000020-2012-08-31,0.042,1.164,0.11844929496306246,0.11945945904741266,-0.865,1.075,0.063,0.079,0.132,1489,0
MAC000020-2012-09-30,0.04,1.311,0.12195211658570437,0.12779193619155482,-1.163,0.9529999999999998,0.059,0.074,0.141,1441,0
MAC000020-2012-10-31,0.037,1.257,0.14206984560107455,0.14115671561687618,-0.8250000000000001,0.9919999999999999,0.063,0.093,0.183,1489,0
MAC000020-2012-11-30,0.036,1.1059999,0.14855516995142262,0.13869671066879458,-0.8649999,0.974,0.065,0.097,0.199,1441,0
MAC000020-2012-12-31,0.032,1.37,0.1737353928139691,0.16885056057397022,-0.9950000000000001,1.1030000000000002,0.07,0.116,0.23,1489,1
MAC000020-2013-01-31,0.032,1.702,0.18855913978494626,0.19095487729269664,-0.9440000000000001,1.127,0.067,0.149,0.231,1488,0
MAC000020-2013-02-28,0.034,1.609,0.1336557620817844,0.15809304829131032,-1.112,1.484,0.054,0.074,0.173,1345,0
MAC000020-2013-03-31,0.035,0.121,0.06060577568838147,0.016483406252130323,-0.068,0.066,0.046,0.059,0.071,1489,0
MAC000020-2013-04-30,0.035,2.0090001,0.08037543386537127,0.10809446901451708,-1.0160001000000003,1.502,0.047,0.059,0.074,1441,0
MAC000020-2013-05-31,0.038,1.7130001,0.12832437884486234,0.14733256528481492,-1.4580001,1.4550001,0.058,0.078,0.151,1489,0
MAC000020-2013-06-30,0.039,1.525,0.11844097222222223,0.12825692753138415,-0.85,0.99,0.056,0.072,0.14,1440,0
MAC000020-2013-07-31,0.039,0.915,0.10443384822028208,0.09745688919403017,-0.789,0.811,0.058,0.073,0.112,1489,0
MAC000020-2013-08-31,0.035,1.1799999,0.1132384149764943,0.10622948932107383,-0.9989999999999999,1.033,0.057,0.077,0.133,1489,0
MAC000020-2013-09-30,0.032,1.372,0.12563289382373352,0.13175750769467232,-1.0490000000000002,1.3030000000000002,0.055,0.075,0.153,1441,0
MAC000020-2013-10-31,0.029,1.2130001,0.1382431161853593,0.1424928550089067,-0.9849999999999999,0.9020001,0.059,0.086,0.179,1489,0
MAC000020-2013-11-30,0.036,1.237,0.1557404580846634,0.1600439199909703,-1.002,0.867,0.061,0.101,0.187,1441,0
MAC000020-2013-12-31,0.024,1.619,0.1620147750167898,0.15927602434795318,-1.209,1.188,0.065,0.114,0.207,1489,0
MAC000020-2014-01-31,0.031,1.796,0.16711887165883144,0.17183315034223715,-0.986,0.99,0.066,0.118,0.198,1489,0
MAC000020-2014-02-28,0.033,1.474,0.15944607080123266,0.15836246290325684,-0.788,1.221,0.066,0.1115,0.197,1298,0
MAC000021-2011-12-31,0.271,1.601,0.5197798475867909,0.22760313502125215,-0.936,0.664,0.376,0.424,0.539,1181,0
MAC000021-2012-01-31,0.267,2.1300001,0.4662437880456682,0.20635082928645007,-1.3090001000000002,1.4689999999999999,0.362,0.401,0.457,1489,0
MAC000021-2012-02-29,0.286,2.8080001,0.5200603012203876,0.21651585507783858,-1.052,2.2790001,0.403,0.46,0.535,1393,0
MAC000021-2012-03-31,0.221,1.9400001,0.45584284748153125,0.1638831317567243,-1.2890001,1.1939999000000001,0.364,0.408,0.48,1489,0
MAC000021-2012-04-30,0.247,2.3050001,0.5100374741151977,0.23186309215603942,-1.6480001,1.8110001,0.375,0.441,0.539,1441,0
MAC000021-2012-05-31,0.181,2.237,0.48810409670920085,0.19737303132144848,-0.869,1.0649999,0.371,0.432,0.535,1489,0
MAC000021-2012-06-30,0.24,2.0120001,0.44767800152671755,0.18088334380657559,-1.025,1.033,0.348,0.386,0.458,1441,0
MAC000021-2012-07-31,0.106,1.75,0.33918938878441907,0.2186035043100354,-1.0529999,1.476,0.215,0.271,0.373,1489,0
MAC000021-2012-08-31,0.158,2.0599999,0.4191813300201478,0.20039417714062868,-0.9239999999999999,1.4009999999999998,0.319,0.361,0.416,1489,0
MAC000021-2012-09-30,0.179,2.3729999,0.42920625013888886,0.205799864527455,-1.282,1.409,0.338,0.371,0.414,1440,0
MAC000021-2012-10-31,0.239,2.6359999,0.4898206848891874,0.25919876297902883,-1.3210001,1.2419998999999997,0.358,0.399,0.48,1489,0
MAC000021-2012-11-30,0.294,1.885,0.5236946565579459,0.22749179749882698,-1.32,1.0310000000000001,0.384,0.432,0.553,1441,0
MAC000021-2012-12-31,0.281,2.0480001,0.535135661853593,0.24018827945606155,-1.164,1.281,0.382,0.439,0.576,1489,1
MAC000021-2013-01-31,0.297,2.3789999,0.5441974476830087,0.26595629719747554,-1.2969998999999999,1.2179999000000001,0.395,0.445,0.528,1489,0
MAC000021-2013-02-28,0.317,2.7160001,0.526488475613383,0.22851800284443535,-2.0590001,1.237,0.401,0.447,0.514,1345,0
MAC000021-2013-03-31,0.285,1.978,0.5240685026192076,0.21113339449800061,-1.4409999999999998,1.424,0.412,0.46,0.523,1489,0
MAC000021-2013-04-30,0.233,1.8839999,0.49423872324774465,0.21358936822979324,-1.175,0.946,0.38,0.42,0.505,1441,0
MAC000021-2013-05-31,0.216,2.2190001,0.4492028208193418,0.20645985432401792,-0.9339999999999999,1.294,0.351,0.381,0.447,1489,0
MAC000021-2013-06-30,0.218,1.336,0.39298265100624563,0.12676602105650325,-0.731,0.857,0.336,0.359,0.396,1441,0
MAC000021-2013-07-31,0.093,1.676,0.2550456682337139,0.14984044581932263,-1.032,1.242,0.158,0.198,0.337,1489,0
MAC000021-2013-08-31,0.093,1.627,0.35751914029550036,0.1743805965487287,-1.0879999999999999,0.952,0.283,0.329,0.368,1489,0
MAC000021-2013-09-30,0.193,2.2149999,0.46206800832755035,0.23294198390190543,-1.0419999999999998,0.9930001000000002,0.332,0.375,0.481,1441,0
MAC000021-2013-10-31,0.24,1.971,0.49864919375,0.28030486988719405,-0.8210000000000001,1.1030000000000002,0.332,0.3705,0.51725,1488,0
MAC000021-2013-11-30,0.251,2.648,0.5348466340041638,0.2851956994896636,-1.1049999999999998,1.501,0.375,0.423,0.523,1441,0
MAC000021-2013-12-31,0.307,1.937,0.5080476830087307,0.22679996533630697,-0.8689999999999999,1.1150000000000002,0.375,0.42,0.498,1489,0
