sample_name,min,max,mean,std,diff_min,diff_max,q25,q50,q75,count,count_nan
MAC000021-2014-01-31,0.266,2.102,0.5246675617864338,0.24658835737102372,-1.15,1.068,0.383,0.43,0.534,1489,0
MAC000021-2014-02-28,0.283,1.779,0.46415023120184895,0.19064925745867858,-1.048,1.172,0.362,0.403,0.45975,1298,0
MAC000022-2011-12-31,0.107,1.1619999,0.27240338983050844,0.14663057607956637,-0.8690001,0.724,0.159,0.2565,0.318,1180,0
MAC000022-2012-01-31,0.109,1.178,0.3959570181329752,0.17174141142610097,-0.6419999999999999,0.649,0.269,0.4,0.53,1489,0
MAC000022-2012-02-29,0.109,1.449,0.4144816941852118,0.17456437525629898,-0.5019999999999999,0.6129999999999999,0.3,0.415,0.546,1393,0
MAC000022-2012-03-31,0.107,1.191,0.2826406983210208,0.1584408501396141,-0.7029999,0.7020000000000001,0.168,0.241,0.351,1489,0
MAC000022-2012-04-30,0.104,1.1109999,0.2265981956280361,0.1154278218990253,-0.577,0.6689999,0.134,0.188,0.281,1441,0
MAC000022-2012-05-31,0.025,0.8,0.18043653458697112,0.09933820074217437,-0.44600000000000006,0.5820000000000001,0.121,0.175,0.232,1489,0
MAC000022-2012-06-30,0.018,0.77,0.11040527411519778,0.08285868709869806,-0.48000000000000004,0.612,0.04,0.098,0.169,1441,0
MAC000022-2012-07-31,0.017,0.81,0.1100436534586971,0.07869811895101564,-0.5189999999999999,0.7040000000000001,0.041,0.098,0.165,1489,0
MAC000022-2012-08-31,0.018,0.938,0.11013297515110812,0.0785492862490932,-0.7609999999999999,0.7719999999999999,0.042,0.099,0.16,1489,0
MAC000022-2012-09-30,0.017,1.1799999,0.1372866064538515,0.12244633298058029,-0.8579999,0.8629999000000002,0.04,0.108,0.181,1441,0
MAC000022-2012-10-31,0.019,1.385,0.17583266122311828,0.13990398078333377,-0.6869999999999999,0.6659999999999999,0.098,0.158,0.222,1488,0
MAC000022-2012-11-30,0.037,1.1950001,0.3267404579458709,0.16656892303155751,-0.544,0.5309999999999999,0.181,0.301,0.431,1441,0
MAC000022-2012-12-31,0.072,1.153,0.4268186701813298,0.13408814634965244,-0.567,0.573,0.354,0.409,0.51,1489,1
MAC000022-2013-01-31,0.06,1.112,0.41189523169912695,0.13986073536656007,-0.531,0.6339999999999999,0.355,0.404,0.505,1489,0
MAC000022-2013-02-28,0.054,1.294,0.40280892200743496,0.16177473229895356,-0.564,0.645,0.346,0.384,0.514,1345,0
MAC000022-2013-03-31,0.059,1.12,0.38636827970430104,0.15709057960993242,-0.6579999999999999,0.5840000000000001,0.33375,0.382,0.506,1488,0
MAC000022-2013-04-30,0.057,1.142,0.2705808465648855,0.16312695440226274,-0.484,0.712,0.134,0.227,0.383,1441,0
MAC000022-2013-05-31,0.016,0.763,0.12416185359301546,0.0913117150017559,-0.522,0.639,0.056,0.103,0.169,1489,0
MAC000022-2013-06-30,0.021,0.715,0.11280083275503122,0.08819994582623328,-0.566,0.5730000000000001,0.039,0.098,0.167,1441,0
MAC000022-2013-07-31,0.028,0.945,0.1160859637340497,0.09219613339979259,-0.506,0.576,0.045,0.099,0.165,1489,0
MAC000022-2013-08-31,0.027,0.715,0.12750302216252518,0.10330491144550497,-0.43599999999999994,0.547,0.043,0.102,0.174,1489,0
MAC000022-2013-09-30,0.023,1.067,0.17435600277585012,0.15015103130444651,-0.528,0.839,0.074,0.133,0.213,1441,0
MAC000022-2013-10-31,0.051,1.163,0.22917394217595702,0.1907447095191343,-0.5869999000000001,0.6859999999999999,0.079,0.177,0.277,1489,0
MAC000022-2013-11-30,0.055,1.099,0.28801804302567663,0.16814273766588522,-0.5439999999999999,0.571,0.133,0.269,0.395,1441,0
MAC000022-2013-12-31,0.294,1.16,0.4376138347884486,0.10243677225398161,-0.5920000999999999,0.6349999999999999,0.351,0.415,0.511,1489,0
MAC000022-2014-01-31,0.059,1.437,0.41391873747481533,0.13541297182546394,-0.7320000999999999,0.7360000999999999,0.343,0.395,0.504,1489,0
MAC000022-2014-02-28,0.085,1.183,0.42833204326625385,0.10986836862949911,-0.6639999999999999,0.6679999999999999,0.346,0.398,0.50425,1292,0
MAC000023-2011-12-31,0.036,2.4649999,0.29674999940677965,0.3281400168087632,-1.3199999,1.8419999,0.103,0.158,0.39825,1180,0
MAC000023-2012-01-31,0.04,2.352,0.40020900557795697,0.35854494579510326,-1.537,1.5549999999999997,0.10975,0.2895,0.5872499999999999,1488,0
MAC000023-2012-02-29,0.037,2.4100001,0.3349310341954023,0.34867300140165425,-1.21,1.315,0.108,0.167,0.484,1392,0
MAC000023-2012-03-31,0.044,1.957,0.41146608428475484,0.33966651479632776,-1.3,1.249,0.132,0.314,0.576,1489,0
MAC000023-2012-04-30,0.044,2.404,0.2914156829979181,0.30569693430387795,-1.1589999999999998,1.345,0.107,0.161,0.388,1441,0
MAC000023-2012-05-31,0.046,1.745,0.3205231698455339,0.29189223361217875,-1.1390000000000002,1.296,0.111,0.198,0.449,1489,0
MAC000023-2012-06-30,0.048,1.8430001,0.3122949342817488,0.29128926584697185,-1.072,1.2190001000000001,0.11,0.173,0.434,1441,0
MAC000023-2012-07-31,0.044,1.779,0.14003022149093353,0.1587342771386695,-1.233,1.3199999999999998,0.056,0.105,0.149,1489,0
MAC000023-2012-08-31,0.045,1.633,0.16687642719946272,0.1648943728536599,-1.087,0.911,0.074,0.118,0.172,1489,0
MAC000023-2012-09-30,0.045,2.1700001,0.333742539833449,0.3157869395409185,-1.0489999,1.4410001000000001,0.109,0.206,0.467,1441,0
MAC000023-2012-10-31,0.04,1.7180001,0.3044667567494963,0.2879180436242448,-0.964,1.1420000000000001,0.104,0.166,0.455,1489,0
MAC000023-2012-11-30,0.036,2.0550001,0.2900291464954892,0.2989197994846105,-1.201,1.2530000000000001,0.102,0.157,0.403,1441,0
MAC000023-2012-12-31,0.037,1.766,0.35373801498987173,0.33789175528669235,-1.0959999999999999,1.547,0.104,0.195,0.522,1481,1
MAC000023-2013-01-31,0.029,2.2550001,0.3539019478173271,0.334862959809571,-1.8000001,1.534,0.103,0.227,0.504,1489,0
MAC000023-2013-02-28,0.036,2.1760001,0.29089442408921934,0.29569993897609015,-1.1230000000000002,1.236,0.105,0.159,0.421,1345,0
MAC000023-2013-03-31,0.034,1.9529999,0.3684811824596774,0.3254684775852814,-1.254,1.185,0.112,0.2695,0.518,1488,0
MAC000023-2013-04-30,0.034,2.027,0.2582109647467037,0.26673541082081026,-1.185,1.3960000000000001,0.104,0.15,0.324,1441,0
MAC000023-2013-05-31,0.046,2.0179999,0.3030376092008059,0.29204067621417024,-1.176,1.649,0.108,0.172,0.417,1489,0
MAC000023-2013-06-30,0.047,1.855,0.323111727758501,0.2833352286778082,-1.402,1.3559999,0.11,0.224,0.444,1441,0
MAC000023-2013-07-31,0.045,1.596,0.17311081255876426,0.16993639004260286,-0.9700000000000001,1.133,0.08,0.115,0.181,1489,0
MAC000023-2013-08-31,0.044,1.433,0.11222565480188046,0.13114739250865387,-0.764,1.004,0.057,0.076,0.112,1489,0
MAC000023-2013-09-30,0.051,1.728,0.32615336564885494,0.30679762261999793,-1.104,1.291,0.105,0.212,0.461,1441,0
MAC000023-2013-10-31,0.047,1.928,0.27546406971121556,0.28461913569584335,-0.915,1.229,0.101,0.144,0.37,1489,0
MAC000023-2013-11-30,0.043,2.25,0.3339104789035392,0.3066638560511915,-1.152,1.028,0.103,0.215,0.484,1441,0
MAC000023-2013-12-31,0.043,2.0209999,0.3222646069845534,0.33466215649174075,-1.0450001,1.147,0.095,0.147,0.477,1489,0
MAC000023-2014-01-31,0.044,2.073,0.359462055809268,0.32352801088252225,-1.3439999999999999,1.279,0.103,0.256,0.52,1489,0
MAC000023-2014-02-28,0.043,1.906,0.3132904466872111,0.3004667676712886,-1.2369999999999999,1.189,0.097,0.187,0.44575,1298,0
MAC000024-2011-12-31,0.028,4.073,0.5830822734520781,0.6431860306507874,-2.7310000000000003,3.2560000000000002,0.0615,0.287,0.9065000000000001,1179,0
MAC000024-2012-01-31,0.029,4.1490002,0.5744640692411014,0.6157877109329182,-3.3310001999999996,3.6110001999999994,0.122,0.32,0.92,1489,0
MAC000024-2012-02-29,0.034,4.5830002,0.7725613786791099,0.8307558374630148,-4.2220002,3.3450001,0.154,0.401,1.165,1393,0
MAC000024-2012-03-31,0.033,4.0479999,0.40471524452652785,0.5753486126030105,-3.3019998999999998,3.2359998999999995,0.053,0.154,0.515,1489,0
MAC000024-2012-04-30,0.032,4.1129999,0.41033310083275504,0.5531831462031104,-3.6039999,3.4960001,0.055,0.166,0.583,1441,0
MAC000024-2012-05-31,0.032,3.7590001,0.3095171257891202,0.40775547855455613,-2.6860001,2.5630001,0.062,0.157,0.366,1489,0
MAC000024-2012-06-30,0.031,2.4360001,0.16203886197085357,0.2663684931179373,-1.9430001,1.8800000999999997,0.045,0.073,0.161,1441,0
MAC000024-2012-07-31,0.029,2.187,0.17287500034722222,0.24016081140453766,-1.9339999999999997,1.9129999999999998,0.063,0.079,0.19,1440,0
MAC000024-2012-08-31,0.03,2.22,0.15511962372311827,0.2212211765811896,-1.8490000000000002,1.9779999999999998,0.052,0.077,0.175,1488,0
MAC000024-2012-09-30,0.031,3.2720001,0.24117291680555553,0.36718941798000965,-2.1780001,2.5750001,0.056,0.1065,0.24125,1440,0
MAC000024-2012-10-31,0.03,3.652,0.33923035587642714,0.4700749570332481,-2.527,2.5019999,0.056,0.147,0.395,1489,0
MAC000024-2012-11-30,0.03,4.7280002,0.5139569745315753,0.641762723682698,-2.8440001,3.6090002000000005,0.065,0.168,0.965,1441,0
MAC000024-2012-12-31,0.031,4.342,0.8928173260577569,0.9524902025095181,-3.3839998999999996,3.7809999,0.162,0.52,1.223,1489,1
MAC000024-2013-01-31,0.028,4.974,0.8898716384408601,0.9053991238073859,-2.951,4.371,0.16875,0.555,1.328249925,1488,0
MAC000024-2013-02-28,0.028,4.4689999,0.7933903342007435,0.9155021141719064,-3.5089999,3.8609999,0.101,0.398,1.169,1345,0
MAC000024-2013-03-31,0.028,4.5749998,0.7063069161182001,0.8246084782954225,-3.2349997999999998,3.7199999999999998,0.113,0.328,1.103,1489,0
MAC000024-2013-04-30,0.027,4.9109998,0.45302290048577376,0.6560738905754346,-4.0179998999999995,3.7289999,0.062,0.155,0.579,1441,0
MAC000024-2013-05-31,0.026,3.7349999,0.21551511081262592,0.38236582898977384,-2.6299999,3.0049999,0.041,0.063,0.168,1489,0
MAC000024-2013-06-30,0.027,4.0190001,0.21004718979875087,0.34036579465279987,-3.9370001000000006,3.4319999,0.056,0.107,0.197,1441,0
MAC000024-2013-07-31,0.03,2.4619999,0.16657085278710543,0.24404661482255322,-2.152,2.4259999,0.058,0.085,0.181,1489,0
MAC000024-2013-08-31,0.027,2.046,0.16850100752182673,0.2349175110347999,-1.791,1.834,0.055,0.082,0.184,1489,0
MAC000024-2013-09-30,0.028,2.4590001,0.21249271339347675,0.3029049836911307,-2.2400001,2.0520001,0.053,0.083,0.205,1441,0
MAC000024-2013-10-31,0.03,3.2409999,0.30965480194761585,0.40629667323886637,-2.0659999,2.7179999,0.059,0.147,0.388,1489,0
MAC000024-2013-11-30,0.03,5.0250001,0.5121984738376127,0.6091176301553408,-3.2950000999999998,4.1610001,0.074,0.231,0.784,1441,0
MAC000024-2013-12-31,0.03,4.2550001,0.5471229010073875,0.6405520125576405,-2.7460002,3.0380001,0.075,0.205,1.043,1489,0
MAC000024-2014-01-31,0.03,3.5999999,0.5607562124916051,0.6287139776216824,-3.0659999,2.8029999,0.129,0.226,0.962,1489,0
MAC000024-2014-02-28,0.031,4.086,0.509684129661017,0.6262199783874499,-3.096,3.676,0.075,0.2075,0.70975,1298,0
MAC000025-2011-12-31,0.0,2.2869999,0.09054452934690416,0.24158983281015114,-1.841,1.8759999,0.002,0.024,0.063,1179,0
MAC000025-2012-01-31,0.0,2.3280001,0.10285627965077233,0.27453426211115917,-2.0600001,2.2750001,0.008,0.024,0.069,1489,0
MAC000025-2012-02-29,0.0,2.188,0.09952117702799713,0.25164737703300366,-2.0540000000000003,2.1599999000000003,0.005,0.023,0.069,1393,0
MAC000025-2012-03-31,0.0,1.974,0.10428360235215053,0.23102936973898403,-1.665,1.834,0.01175,0.033,0.076,1488,0
MAC000025-2012-04-30,0.0,2.0039999,0.10071160507296734,0.23550515430699012,-1.6399999000000003,1.8209999000000001,0.012,0.036,0.064,1439,0
MAC000025-2012-05-31,0.0,1.9579999,0.0912925352387357,0.2113611009648581,-1.548,1.8869999,0.019,0.038,0.066,1487,0
MAC000025-2012-06-30,0.0,1.948,0.09418333340277776,0.23519203915696182,-1.652,1.766,0.01475,0.039,0.066,1440,0
MAC000025-2012-07-31,0.0,1.913,0.08814304902619208,0.21275089333922448,-1.675,1.812,0.012,0.035,0.065,1489,0
MAC000025-2012-08-31,0.0,1.721,0.08982874412357286,0.20570856325606876,-1.3559999999999999,1.5550000000000002,0.014,0.037,0.07,1489,0
MAC000025-2012-09-30,0.001,1.603,0.07578209583622485,0.1762488809143243,-1.285,1.558,0.01,0.029,0.061,1441,0
MAC000025-2012-10-31,0.002,1.724,0.08365053763440859,0.21090748675405177,-1.444,1.687,0.012,0.028,0.05925,1488,0
MAC000025-2012-11-30,0.0,1.827,0.09661415669673837,0.22090703007092008,-1.597,1.779,0.014,0.027,0.059,1441,0
MAC000025-2012-12-31,0.003,1.723,0.08475470443548387,0.20847019552162818,-1.344,1.693,0.01,0.024,0.05825,1488,1
MAC000025-2013-01-31,0.004,1.693,0.10048185510752689,0.23447030632501714,-1.236,1.627,0.012,0.026,0.063,1488,0
MAC000025-2013-02-28,0.003,1.706,0.10675651518987342,0.23639486981341287,-1.556,1.624,0.014,0.034,0.064,1343,0
MAC000025-2013-03-31,0.002,1.698,0.10835325715245131,0.23769349779594573,-1.3059999999999998,1.539,0.015,0.03,0.064,1489,0
MAC000025-2013-04-30,0.0,1.559,0.10389999972222223,0.22143030013907375,-1.216,1.544,0.01575,0.029,0.065,1440,0
MAC000025-2013-05-31,0.0,1.678,0.10937071867024849,0.23478212510908325,-1.481,1.6179999999999999,0.017,0.033,0.068,1489,0
MAC000025-2013-06-30,0.0,1.58,0.1238147120055517,0.23911950110234512,-1.1340000000000001,1.412,0.021,0.047,0.081,1441,0
MAC000025-2013-07-31,0.0,1.61,0.10985685490591399,0.22178327926121538,-1.312,1.393,0.02,0.043,0.072,1488,0
MAC000025-2013-08-31,0.0,1.551,0.09615312283411685,0.19823480577309988,-1.3130000000000002,1.544,0.012,0.038,0.069,1489,0
MAC000025-2013-09-30,0.0,1.719,0.1000263888888889,0.21588937054841387,-1.214,1.6640000000000001,0.012,0.032,0.065,1440,0
MAC000025-2013-10-31,0.0,1.748,0.10249764969778374,0.2268233367969638,-1.312,1.721,0.012,0.033,0.063,1489,0
MAC000025-2013-11-30,0.0,1.783,0.10491533622484385,0.24313876425930028,-1.365,1.698,0.013,0.032,0.065,1441,0
MAC000025-2013-12-31,0.0,1.7539999,0.09000738750839489,0.20970552654151675,-1.511,1.6769999,0.013,0.027,0.062,1489,0
MAC000025-2014-01-31,0.002,1.698,0.11296373404969778,0.2296105075958267,-1.4909999,1.477,0.019,0.046,0.074,1489,0
MAC000025-2014-02-28,0.0,3.1500001,0.1106918337442219,0.24575779551440133,-2.8240001,3.1020001,0.018,0.046,0.068,1298,0
MAC000026-2011-12-31,0.084,2.6229999,0.2921196942275042,0.28786458331370024,-1.3549999,1.4309999,0.132,0.1785,0.3185,1178,0
MAC000026-2012-01-31,0.084,2.003,0.22670114177300202,0.20212587600889922,-1.336,1.227,0.13,0.158,0.209,1489,0
MAC000026-2012-02-29,0.084,2.5580001,0.2848470928930366,0.29490163931703267,-1.7440001,1.9550001,0.133,0.181,0.26,1393,0
MAC000026-2012-03-31,0.085,2.8559999,0.31225050349227673,0.3379083315514784,-1.459,1.4130000000000003,0.139,0.186,0.312,1489,0
MAC000026-2012-04-30,0.086,2.0150001,0.27506037494795277,0.25561174759367,-1.1020001,1.476,0.136,0.181,0.304,1441,0
MAC000026-2012-05-31,0.086,1.882,0.25226259234385495,0.21541697232200024,-1.4169999999999998,1.503,0.138,0.185,0.241,1489,0
MAC000026-2012-06-30,0.125,1.977,0.23860097168632893,0.204864558749256,-1.4820000000000002,1.4809999999999999,0.139,0.173,0.227,1441,0
MAC000026-2012-07-31,0.125,2.244,0.2292787106111484,0.20793118131927932,-1.335,1.5610000000000002,0.136,0.163,0.188,1489,0
MAC000026-2012-08-31,0.125,1.502,0.1761074546675621,0.10568875119775076,-0.877,0.888,0.131,0.154,0.178,1489,0
MAC000026-2012-09-30,0.13,2.221,0.29410340034698124,0.2155246012809961,-0.9610000000000001,1.7750000000000001,0.154,0.192,0.386,1441,0
MAC000026-2012-10-31,0.091,1.779,0.31579650799194087,0.24004001153314017,-1.02,1.2660001,0.155,0.202,0.421,1489,0
MAC000026-2012-11-30,0.086,2.069,0.3280187372657876,0.25121284570543206,-1.08,1.486,0.15,0.217,0.456,1441,0
MAC000026-2012-12-31,0.126,2.572,0.27178912041638686,0.27459079561817423,-1.3190000000000002,1.508,0.133,0.171,0.238,1489,1
MAC000026-2013-01-31,0.085,1.749,0.21333109462726663,0.1632273251385821,-1.347,1.4600000000000002,0.132,0.157,0.196,1489,0
MAC000026-2013-02-28,0.086,2.3959999,0.2353474697172619,0.22649968991920502,-1.8989999000000002,1.6649999,0.119,0.1555,0.217,1344,0
MAC000026-2013-03-31,0.102,1.617,0.23622715053763443,0.19888533555494195,-1.037,1.205,0.12,0.162,0.255,1488,0
MAC000026-2013-04-30,0.102,2.2820001,0.2490321455625437,0.2326930495043172,-1.79,1.787,0.1315,0.166,0.234,1431,0
MAC000026-2013-05-31,0.112,2.0079999,0.2767347213566152,0.25181389041863933,-1.3239999,1.5639999000000002,0.135,0.179,0.317,1489,0
MAC000026-2013-06-30,0.111,1.811,0.2438327548924358,0.22583046180907432,-1.306,1.1960000000000002,0.13,0.163,0.237,1441,0
MAC000026-2013-07-31,0.104,1.783,0.22082459670698926,0.1865165275694685,-0.8680000000000001,1.298,0.134,0.166,0.2,1488,0
MAC000026-2013-08-31,0.108,1.852,0.19775957004701142,0.161868353566439,-1.086,1.21,0.13,0.155,0.184,1489,0
MAC000026-2013-09-30,0.089,1.653,0.2716439973629424,0.2244387609799634,-1.212,1.2329999999999999,0.138,0.181,0.319,1441,0
MAC000026-2013-10-31,0.09,2.108,0.26649563472128945,0.22220602555381677,-1.1029999,0.9730000000000001,0.133,0.173,0.347,1489,0
MAC000026-2013-11-30,0.089,2.6289999,0.3238584315752949,0.30290683718993167,-1.389,1.242,0.139,0.181,0.418,1441,0
MAC000026-2013-12-31,0.088,2.237,0.24867427817327065,0.2471448570374605,-1.077,1.5350000000000001,0.127,0.155,0.218,1489,0
MAC000026-2014-01-31,0.087,1.67,0.17280053734049697,0.1454379554722297,-1.323,1.218,0.115,0.135,0.17,1489,0
MAC000026-2014-02-28,0.091,1.9960001,0.38279969175654854,0.301569090840516,-1.6430001,1.4289999999999998,0.165,0.259,0.5317500000000001,1298,0
MAC000027-2011-12-31,0.027,1.071,0.20257385398981326,0.09561352251610587,-0.869,0.6419999999999999,0.13725,0.18,0.25375000000000003,1178,0
MAC000027-2012-01-31,0.023,0.879,0.1879026192075218,0.10315091277495898,-0.644,0.554,0.116,0.175,0.247,1489,0
MAC000027-2012-02-29,0.051,0.884,0.21140057430007178,0.09709295551771098,-0.583,0.63,0.143,0.188,0.264,1393,0
MAC000027-2012-03-31,0.084,0.883,0.20520013431833445,0.08444428700337768,-0.591,0.6819999999999999,0.141,0.186,0.248,1489,0
MAC000027-2012-04-30,0.083,0.814,0.2011970853573907,0.08211609341081999,-0.528,0.564,0.138,0.186,0.245,1441,0
MAC000027-2012-05-31,0.067,0.749,0.19096440564137004,0.07834230579547338,-0.46799999999999997,0.488,0.134,0.172,0.236,1489,0
MAC000027-2012-06-30,0.036,1.156,0.17196807772380293,0.10888165890969553,-0.7249999999999999,0.849,0.105,0.138,0.205,1441,0
MAC000027-2012-07-31,0.035,1.4299999,0.19948085950302216,0.12280747372404177,-0.829,0.9299999000000001,0.128,0.176,0.242,1489,0
MAC000027-2012-08-31,0.035,0.873,0.19392612491605107,0.08988744408047433,-0.5720000000000001,0.644,0.132,0.179,0.241,1489,0
MAC000027-2012-09-30,0.033,1.2920001,0.18202914649548924,0.10722096537137515,-0.727,1.0310001,0.116,0.164,0.224,1441,0
MAC000027-2012-10-31,0.063,0.927,0.1864808596373405,0.10370247228682791,-0.7030000000000001,0.789,0.115,0.159,0.23,1489,0
MAC000027-2012-11-30,0.036,1.671,0.19302914649548925,0.1244452494273315,-1.438,0.9610000000000001,0.12,0.164,0.228,1441,0
MAC000027-2012-12-31,0.08,1.061,0.1974042981867025,0.104264753644177,-0.824,0.7939999999999999,0.128,0.176,0.231,1489,1
MAC000027-2013-01-31,0.029,1.284,0.1964264608462055,0.11562077825910091,-0.8410000999999999,1.1080001,0.118,0.169,0.245,1489,0
MAC000027-2013-02-28,0.08,1.183,0.19247434944237918,0.12695709391065127,-0.921,0.9710000000000001,0.115,0.154,0.234,1345,0
MAC000027-2013-03-31,0.075,1.118,0.19708059100067157,0.10870174843869346,-0.7979999999999999,0.831,0.123,0.172,0.239,1489,0
MAC000027-2013-04-30,0.08,1.437,0.2006585704371964,0.11749772461347419,-0.7939999999999999,0.858,0.126,0.17,0.239,1441,0
MAC000027-2013-05-31,0.029,1.068,0.1877783747481531,0.10820357674902209,-0.833,0.816,0.118,0.16,0.228,1489,0
MAC000027-2013-06-30,0.023,1.147,0.20584247050659266,0.10739747449701405,-0.781,0.915,0.14,0.181,0.247,1441,0
MAC000027-2013-07-31,0.027,0.905,0.17223975822699797,0.09380373516043498,-0.5920000000000001,0.6990000000000001,0.108,0.147,0.213,1489,0
MAC000027-2013-08-31,0.048,1.001,0.16974345198119542,0.09432610443345976,-0.69,0.8089999999999999,0.109,0.15,0.202,1489,0
MAC000027-2013-09-30,0.022,0.916,0.150587786259542,0.0958744518492159,-0.677,0.747,0.085,0.129,0.193,1441,0
MAC000027-2013-10-31,0.045,1.196,0.15774882471457355,0.10101317404647295,-0.832,0.956,0.087,0.128,0.2,1489,0
MAC000027-2013-11-30,0.04,1.2589999,0.1647897292852186,0.1229511733178855,-0.9709999,1.014,0.086,0.128,0.206,1441,0
MAC000027-2013-12-31,0.045,1.1900001,0.18015177971793148,0.11692446477660512,-0.8420001,0.894,0.101,0.155,0.224,1489,0
MAC000027-2014-01-31,0.042,1.16,0.1686108108108108,0.1110499276362221,-0.7829999999999999,0.8969999999999999,0.09,0.14,0.213,1480,0
MAC000027-2014-02-28,0.041,1.47,0.17544607087827427,0.12791863476541593,-1.014,1.135,0.09225,0.144,0.21775,1298,0
MAC000028-2011-12-31,0.038,0.687,0.12014261460101867,0.06108926321784172,-0.554,0.559,0.074,0.106,0.151,1178,0
MAC000028-2012-01-31,0.045,1.216,0.12387374076561451,0.07937592715259016,-0.834,0.6729999999999999,0.074,0.101,0.148,1489,0
MAC000028-2012-02-29,0.044,0.818,0.11795262024407753,0.07175624683916101,-0.601,0.695,0.071,0.098,0.138,1393,0
MAC000028-2012-03-31,0.051,1.082,0.10389523169912693,0.06450913526281028,-0.6090000000000001,0.8360000000000001,0.073,0.083,0.12,1489,0
MAC000028-2012-04-30,0.048,0.736,0.10715683553088134,0.062285457077174256,-0.5289999999999999,0.643,0.074,0.087,0.127,1441,0
MAC000028-2012-05-31,0.041,0.697,0.09827486559139785,0.05758494547047288,-0.45599999999999996,0.5589999999999999,0.07175,0.086,0.112,1488,0
MAC000028-2012-06-30,0.059,0.783,0.11187855655794587,0.05773774369339281,-0.49500000000000005,0.48299999999999993,0.085,0.091,0.124,1441,0
MAC000028-2012-07-31,0.043,0.626,0.12231363331094694,0.052952431821231,-0.431,0.52,0.093,0.112,0.133,1489,0
MAC000028-2012-08-31,0.064,0.772,0.1251752854264607,0.05076945076239102,-0.523,0.5630000000000001,0.107,0.112,0.135,1489,0
MAC000028-2012-09-30,0.046,0.793,0.12283402777777777,0.060178835478088825,-0.53,0.7140000000000001,0.087,0.107,0.137,1440,0
MAC000028-2012-10-31,0.055,0.77,0.129341840161182,0.07174611283238817,-0.5740000000000001,0.642,0.084,0.107,0.153,1489,0
MAC000028-2012-11-30,0.052,0.896,0.13115475364330326,0.07480420967217585,-0.538,0.77,0.082,0.113,0.162,1441,0
MAC000028-2012-12-31,0.06,0.807,0.14708327736736065,0.07172773564123842,-0.48600000000000004,0.7240000000000001,0.098,0.133,0.173,1489,1
MAC000028-2013-01-31,0.057,1.12,0.14447481531229012,0.07354349759626842,-0.636,0.8220000000000001,0.104,0.132,0.166,1489,0
MAC000028-2013-02-28,0.072,0.962,0.13959598214285712,0.0596287448004794,-0.6859999999999999,0.7090000000000001,0.108,0.13,0.158,1344,0
MAC000028-2013-03-31,0.056,0.68,0.1378556077904634,0.04781669999245709,-0.42599999999999993,0.521,0.109,0.13,0.159,1489,0
MAC000028-2013-04-30,0.045,0.699,0.09793615544760584,0.05130099174846257,-0.43599999999999994,0.6419999999999999,0.072,0.084,0.107,1441,0
MAC000028-2013-05-31,0.047,0.137,0.06446742780389524,0.01564149495458497,-0.043,0.08000000000000002,0.052,0.058,0.076,1489,0
MAC000028-2013-06-30,0.005,0.189,0.026602359472588478,0.01714669453037268,-0.13,0.131,0.007,0.036,0.039,1441,0
MAC000028-2013-07-31,0.005,0.261,0.017217595701813297,0.011698138206357268,-0.20900000000000002,0.247,0.013,0.013,0.014,1489,0
MAC000028-2013-08-31,0.013,0.172,0.01343854936198791,0.005148378180964868,-0.15899999999999997,0.097,0.013,0.013,0.013,1489,0
MAC000028-2013-09-30,0.0,1.6569999,0.01628036079111728,0.06039046791775424,-1.3599999,1.5369999,0.0,0.006,0.007,1441,0
MAC000028-2013-10-31,0.006,1.212,0.05684083044982699,0.12015295053193731,-0.597,0.999,0.007,0.007,0.007,289,0
MAC000029-2011-12-31,0.01,1.6849999,0.0852005096006797,0.15485075667010717,-1.5449999,1.0189998999999998,0.044,0.058,0.07,1177,0
MAC000029-2012-01-31,0.01,1.722,0.07637340503693754,0.12913091061523055,-1.0220000000000002,1.321,0.035,0.058,0.062,1489,0
MAC000029-2012-02-29,0.01,1.299,0.07164034465183058,0.11337621430905843,-1.0550000000000002,1.002,0.026,0.057,0.062,1393,0
MAC000029-2012-03-31,0.01,1.72,0.07614506386836803,0.13683687349238388,-1.198,1.4470001000000001,0.049,0.058,0.066,1489,0
MAC000029-2012-04-30,0.01,1.748,0.0823324080499653,0.1588435371061027,-1.6369999,1.593,0.052,0.057,0.073,1441,0
MAC000029-2012-05-31,0.01,1.7,0.07178710550705171,0.11748286806203993,-1.226,1.286,0.054,0.057,0.059,1489,0
MAC000029-2012-06-30,0.0,2.0780001,0.07772777791666667,0.12658919449827952,-1.198,1.2660000999999999,0.047,0.055,0.086,1440,0
MAC000029-2012-07-31,0.0,1.762,0.0658354600402955,0.0832629945931698,-1.307,1.406,0.047,0.051,0.058,1489,0
MAC000029-2012-08-31,0.0,1.943,0.06602417730020148,0.07896928051165014,-1.0350000000000001,1.738,0.047,0.048,0.057,1489,0
MAC000029-2012-09-30,0.0,1.878,0.07229007640527411,0.11331668681740266,-1.332,1.4779999999999998,0.047,0.053,0.066,1441,0
MAC000029-2012-10-31,0.0,1.8940001,0.09114506400268638,0.18784487554889853,-1.434,1.7660000999999999,0.047,0.051,0.08,1489,0
MAC000029-2012-11-30,0.0,1.753,0.07883275503122832,0.15009371768110463,-1.2530000000000001,1.0570000000000002,0.046,0.05,0.063,1441,0
